iid,name,knowledge
24241328,"01.K6.1.1.1 -- Sử dụng được thuật ngữ tập hợp, phần tử thuộc (không thuộc) một tập hợp.",
24241375,01.K6.1.2.1 - Nhận biết được tập hợp các số tự nhiên,
24241398,01.K6.1.3.1 - Đọc và viết được số tự nhiên,
24241411,01.K6.1.4.1 - Biểu diễn được các số tự nhiên từ 1 đến 30 bằng cách sử dụng các chữ số La Mã,
24241513,"02.K6.1.1.1 - Nhận biết được số nguyên âm, tập hợp các số nguyên",
24241568,02.K6.1.2.1 - Biểu diễn được số nguyên trên trục số,
26820724,03.K6.1.1.1 - Nhận biết được phân số với tử số hoặc mẫu số là số nguyên âm,
26820733,03.K6.1.2.1 - Nhận biết được khái niệm hai phân số bằng nhau và nhận biết được quy tắc bằng nhau của hai phân số,
26821576,03.K6.1.1.2 - Sử dụng được phân số trong một số tình huống thực tiễn,
26827469,03.K6.1.3.1 - Nêu và áp dụng được hai tính chất cơ bản của phân số,
26827472,03.K6.1.3.2 - Rút gọn phân số,
26827486,03.K6.1.4.1 - Quy đồng được mẫu nhiều phân số,
26827489,03.K6.1.4.2 - So sánh được hai phân số cho trước,
26827494,03.K6.1.5.1 - Nhận biết được số đối của một phân số.,
26827500,03.K6.1.6.1 - Nhận biết được hỗn số dương,
26827512,03.K6.2.1.1 - Thực hiện được phép tính cộng phân số,
26827515,03.K6.2.1.2 - Thực hiện được phép tính trừ phân số,
26827519,03.K6.2.1.3 - Thực hiện được phép nhân phân số,
26827524,03.K6.2.1.4 - Nhận biết được phân số nghịch đảo của một phân số khác 0.,
26827530,03.K6.2.1.5 - Thực hiện được phép chia phân số,
26827607,03.K6.2.2.1 - Vận dụng được tính chất giao hoán và kết hợp của phép cộng phân số,
26827625,03.K6.2.2.2 - Vận dụng được tính chất giao hoán và kết hợp của phép nhân phân số,
26827635,03.K6.2.2.3 - Vận dụng được tính chất phân phối của phép nhân đối với phép cộng phân số và quy tắc dấu ngoặc trong tính toán.,
26827677,03.K6.2.3.1 - Tìm giá trị phân số của một số cho trước,
26827680,03.K6.2.3.2 - Tìm một số biết giá trị phân số của nó,
26827700,03.K6.2.4.1 - Giải quyết được một số vấn đề thực tiễn gắn với các phép tính cộng phân số,
26827707,03.K6.2.4.2 - Giải quyết được một số vấn đề thực tiễn gắn với các phép tính trừ phân số,
26827711,03.K6.2.4.3 - Giải quyết được một số vấn đề thực tiễn gắn với các phép tính nhân phân số,
26828755,04.K6.1.1.1 - Nhận biết phân số thập phân,
26828766,04.K6.1.1.2 - Nhận biết số thập phân âm/dương & Nhận biết số đối của số thập phân,
26828770,"04.K6.1.1.3 - Nhận biết phần số nguyên, phần thập phân.",
26828927,04.K6.1.2.1 - So sánh được hai số thập phân cho trước,
26828931,04.K6.1.2.2 - Sử dụng được số thập phân trong một số tình huống thực tiễn,
26828988,04.K6.1.3.1 - Thực hiện được các phép tính cộng với số thập phân,
26828992,04.K6.1.3.2 - Thực hiện được các phép tính trừ với số thập phân,
26829975,04.K6.1.3.4 - Thực hiện được các phép tính nhân với số thập phân,
26829980,04.K6.1.3.5 - Thực hiện được các phép tính chia với số thập phân,
26829989,04.K6.1.4.1 - Vận dụng được tính chất giao hoán và kết hợp của phép cộng số thập phân,
26829992,04.K6.1.4.2 - Vận dụng được tính chất giao hoán và kết hợp của phép nhân số thập phân,
26829996,04.K6.1.4.3 - Vận dụng được tính chất phân phối của phép nhân đối với phép cộng số thập phân và quy tắc dấu ngoặc trong tính toán.,
26830017,04.K6.1.5.1 - Giải quyết được một số bài toán thực tiễn gắn với phép tính cộng số thập phân,
26830020,04.K6.1.5.2 - Giải quyết được một số bài toán thực tiễn gắn với phép tính trừ số thập phân,
26830385,07.K6.1.1.1 - Làm tròn được số thập phân,
26830419,"07.K6.1.1.2 - Ước lượng được kết quả của phép đo, phép tính",
26830423,07.K6.1.1.3 - Giải quyết được một số tình huống thực tiễn liên quan đến làm tròn số thập phân,
26831020,08.K6.1.1.1 - Tính được tỉ số và tỉ số phần trăm của hai đại lượng,
26831134,08.K6.1.2.1 - Tính được giá trị phần trăm của một số cho trước,
26831137,08.K6.1.2.2 - Tính được một số biết giá trị phần trăm của số đó.,
26831146,"08.K6.1.3.1 - Giải quyết được một số vấn đề thực tiễn gắn với các phép tính về tỉ số và tỉ số phần trăm (ví dụ: các bài toán liên quan đến lãi suất tín dụng, liên quan đến thành phần các chất trong Hoá học,...).",
26831794,01.K6.1.1.2 - Sử dụng được cách cho tập hợp,
26831808,01.K6.1.3.2 - Nhận biết được giá trị các chữ số của một số tự nhiên viết trong hệ thập phân và biểu diễn được mỗi số tự nhiên thành tổng giá trị các chữ số của nó,
26831824,01.K6.1.5.1 - Biểu diễn được số tự nhiên trên tia số,
26831827,01.K6.1.5.2 - Nhận biết được (quan hệ) thứ tự trong tập hợp các số tự nhiên; so sánh được hai số tự nhiên cho trước,
26832024,01.K6.2.1.1 - Thực hiện được phép cộng số tự nhiên,
26832027,01.K6.2.1.2 - Thực hiện được phép trừ số tự nhiên,
26832032,01.K6.2.1.3 - Thực hiện được phép nhân hai số tự nhiên,
26832037,"01.K6.2.1.4 - Thực hiện được phép chia hai số tự nhiên (chia hết, chia có dư)",
